"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","003643","4","LEC","","N","30","3.000","1.00","PRA"
"01/01/2017","003643","4","LEC","","N","40","1.000","1.00","WRK"
"01/01/2017","003643","4","LEC","","Y","175","1.000","3.00","LEC"
"01/01/2017","003647","1","SEM","","N","35","0.000","1.00","SEM"
"01/01/2017","003660","1","LEC","LEC","Y","12","2.000","3.00","LEC"
"01/01/2017","003675","1","LEC","LEC","N","20","1.000","1.00","PJT"
"01/01/2017","003675","1","LEC","LEC","Y","45","1.000","3.00","LEC"
"01/01/2017","003675","2","LEC","LEC","N","20","1.000","1.00","PJT"
"01/01/2017","003675","2","LEC","LEC","Y","45","1.000","3.00","LEC"
"01/01/2017","003681","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","003718","1","LEC","","N","80","1.000","1.00","PRA"
"01/01/2017","003718","1","LEC","","Y","220","2.000","2.00","LEC"
"01/01/2017","003762","1","CLN","CLN","N","10","2.000","2.00","PRA"
"01/01/2017","003762","1","CLN","CLN","N","20","2.000","2.00","CLN"
"01/01/2017","003808","1","LEC","","N","20","1.000","1.00","TUT"
"01/01/2017","003808","1","LEC","","Y","380","1.000","2.00","LEC"
"01/01/2017","003823","1","WRK","","Y","250","3.000","1.00","WRK"
"01/01/2017","003826","1","LEC","WRK","N","26","1.500","3.00","WRK"
"01/01/2017","003826","1","LEC","WRK","Y","500","1.000","3.00","LEC"
"01/01/2017","003826","2","LEC","","N","26","1.500","3.00","WRK"
"01/01/2017","003826","2","LEC","","Y","500","1.000","3.00","LEC"
"01/01/2017","003826","3","LEC","WRK","N","26","1.500","3.00","WRK"
"01/01/2017","003826","3","LEC","WRK","Y","500","1.000","3.00","LEC"
"01/01/2017","003891","1","LEC","LEC","Y","35","3.000","5.00","LEC"
"01/01/2017","003902","1","SEM","","N","35","2.000","1.00","TUT"
"01/01/2017","003902","1","SEM","","Y","100","2.000","1.00","SEM"
"01/01/2017","003907","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","003916","1","LEC","","Y","20","1.000","1.00","LEC"
"01/01/2017","003916","1","LEC","","Y","20","1.000","1.00","TUT"
"01/01/2017","003927","1","LEC","","Y","10","0.000","1.00","LEC"
"01/01/2017","003935","1","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","003935","1","LEC","","Y","10","2.000","1.00","SEM"
"01/01/2017","003966","1","SEM","","N","35","0.000","1.00","SEM"
"01/01/2017","003987","1","LEC","","Y","20","1.000","3.00","LEC"
"01/01/2017","003988","1","LEC","LEC","N","30","2.000","2.00","TUT"
"01/01/2017","003988","1","LEC","LEC","Y","60","1.000","1.00","LEC"
"01/01/2017","003989","1","LEC","","N","25","1.000","1.00","PRA"
"01/01/2017","003989","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","003989","1","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","004013","1","LEC","","Y","5","1.000","3.00","LEC"
"01/01/2017","004025","1","LEC","","Y","35","6.500","1.00","LEC"
"01/01/2017","004025","2","LEC","","Y","35","6.500","1.00","LEC"
"01/01/2017","004049","1","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","004049","2","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","004049","3","LEC","","Y","10","1.000","1.00","LEC"
"01/01/2017","004055","1","CLN","","L","5","0.000","1.00","CLN"
