"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"ARTS","BARTS","01/01/2015","BARTLIBST","01/01/2015","A","B.Arts (Liberal Studies)","B.A(LibSt)","Arts FAO","100.000"
"ARTS","BARTS","01/01/2015","BENVST","01/04/2000","I","B.Environmental Studies","B.EnvSt","H&SS FO","100.000"
"ARTS","BCRIM","01/01/2017","BCRIM","01/01/2017","A","B.Criminology","B.Crim","SocCrimGen","100.000"
"ARTS","BDVST","01/01/2016","BDEVSTUD","01/01/2016","A","B.International Development","B.Int.Dev.","Arts FAO","100.000"
"ARTS","BEDUC","01/01/2015","BEDSECDR","01/01/1901","A","B.Education (Secdry Drama)","B.Ed(SecD)","Eld Office","100.000"
"ARTS","BEDUC","01/01/2015","BEDSECMUS","01/01/1901","A","B.Education (Secdry Music)","B.Ed(SecM)","Eld Office","100.000"
"ARTS","BEDUC","01/01/2015","PGBED","01/01/2015","A","B.Education","B.Ed","Arts FAO","100.000"
"ARTS","BENVS","01/01/2015","BENVS","01/01/2015","A","B.Environmental Policy & Mgt.","BEnvPolMgt","Arts FAO","100.000"
"ARTS","BINTL","01/01/2015","BINTLSTUD","19/09/2016","A","B.International Studies","B.Int St","Arts FAO","100.000"
"ARTS","BISBA","01/01/2015","BARTBINTST","01/01/2015","A","B.Arts with B.International St","B.A/B.IS","Arts FAO","100.000"
"ARTS","BISBA","01/01/2015","BINTSTBART","01/01/2015","A","B.InternationalSt with B.Arts","B.IS/B.A","Arts FAO","100.000"
"ARTS","BISEC","01/01/2015","BECBINST","01/01/2015","A","B.Ec with B.International St","B.Ec/B.IS","Arts FAO","100.000"
"ARTS","BISEC","01/01/2015","BINTSTBEC","01/01/2015","A","B.Int Studies with B.Ec","B.IS/B.Ec","Arts FAO","100.000"
"ARTS","BLABS","01/01/2015","BLABST","01/01/2015","A","B.Labour Studies","B.LabSt","Arts FAO","100.000"
"ARTS","BLANG","01/01/2015","BLANG","01/01/2015","A","B.Languages","B.Lang","Arts FAO","100.000"
"ARTS","BLAS","09/11/2015","BLIBARTSSC","10/11/2015","A","B.Liberal Arts and Sciences","B.LA&Sc","Science","50.000"
"ARTS","BLAS","09/11/2015","BLIBARTSSC","10/11/2015","A","B.Liberal Arts and Sciences","B.LA&Sc","Arts Off","50.000"
"ARTS","BMBIS","01/01/2015","BINTSTBMED","01/01/2015","A","B.InternationalSt with B.Media","B.IST/B.Md","Arts FAO","100.000"
"ARTS","BMBIS","01/01/2015","BMEDIABIST","01/01/2015","A","B.Media with B.InternationalSt","B.M/B.IST","Arts FAO","100.000"
"ARTS","BMEBA","01/01/2015","BARTBMEDIA","01/01/2015","A","B.Arts with B.Media","B.A/B.Md","Arts FAO","100.000"
"ARTS","BMEBA","01/01/2015","BMEDIABART","01/01/2015","A","B.Media with B.Arts","B.Md/B.A","Arts FAO","100.000"
"ARTS","BMEDI","01/01/2015","BMEDIA","01/01/2015","A","B.Media","B.Media","Arts FAO","100.000"
"ARTS","BSOCS","01/01/2015","BSOCIALSC","19/09/2016","A","B.Social Sciences","B.Soc.Sc","Arts FAO","100.000"
"ARTS","DARTS","01/01/2016","DIPARTS","14/10/2015","A","Dip.Arts","Dip.Arts","Arts FAO","100.000"
"ARTS","DILAB","01/01/2015","DIPLABST","01/01/2015","A","Dip.Labour Studies","Dip.Lab St","Arts FAO","100.000"
"ARTS","DILAN","05/01/2015","DIPLANG","01/01/2015","A","Dip.Languages","Dip.Lang","Arts FAO","100.000"
"ARTS","DILIB","01/01/2015","DIPLIBST","01/01/2015","A","Dip.Liberal Studies","Dip.Lib St","Arts FAO","100.000"
"ARTS","DIPED","01/01/2000","DIPED","01/01/2000","I","Dip.Education","Dip.Ed","H&SS FO","100.000"
"ARTS","GCAPA","14/01/2005","GCAPPANTHR","14/01/2005","I","GCert.Applied Anthropology","GC.AppAnth","H&SS FO","100.000"
"ARTS","GCAPD","01/04/2000","GCAPDEMOG","01/01/1901","I","GCert.Applied Demography","GC.AppDem","H&SS FO","100.000"
"ARTS","GCAPH","14/01/2005","GCAPHISTST","14/01/2005","I","GCert.Applied Hist Studies","GC.AppHSt","H&SS FO","100.000"
