"Eff_Date","Course_ID","Offer_Nbr","Offering_Acad_Org","Owner_Acad_Org","Pct_Owned"
"01/01/2017","004880","1","SCHAG&WINE","CHEMENG","5.000"
"01/01/2017","004880","1","SCHAG&WINE","SCHAG&WINE","95.000"
"01/01/2017","004880","2","SCINCESFO","",""
"01/01/2017","004945","1","SCHVETSCI","",""
"01/01/2017","004949","1","MEDSCI","",""
"01/01/2017","004967","1","CIV&ENVENG","",""
"01/01/2017","004971","1","ASIANSTD","",""
"01/01/2017","004979","1","CASM","",""
"01/01/2017","005011","1","CASM","",""
"01/01/2017","005049","1","LINGUISTIC","",""
"01/01/2017","005058","1","CHEMENG","",""
"01/01/2017","005090","1","BUSSCH","",""
"01/01/2017","005104","1","PSYCHOLOGY","",""
"01/01/2017","005139","1","CLINNURSE","",""
"01/01/2017","005141","1","COMPSCI","",""
"01/01/2017","005141","2","COMPSCI","",""
"01/01/2017","005156","1","SCHPHYSCI","",""
"01/01/2017","005174","1","MATHSCI","",""
"01/01/2017","005215","1","SCHAG&WINE","",""
"01/01/2017","005215","2","SCHAG&WINE","",""
"01/01/2017","005224","1","SCHBIOSCI","",""
"01/01/2017","005230","1","MATHSCI","",""
"01/01/2017","005234","1","CASM","",""
"01/01/2017","005295","1","SCHAG&WINE","",""
"01/01/2017","005305","1","DENTAL","",""
"01/01/2017","005340","1","ELDERCON","",""
"01/01/2017","005344","1","MATHSCI","",""
"01/01/2017","005385","1","CASM","",""
"01/01/2017","005543","1","MATHSCI","",""
"01/01/2017","005543","3","MATHSCI","",""
"01/01/2017","005554","1","ECIC","",""
"01/01/2017","005596","1","ECONOMICSS","",""
"01/01/2017","005611","1","ECONOMICSS","",""
"01/01/2017","005633","1","ECONOMICSS","",""
"01/01/2017","005672","2","PUBLICHLTH","",""
"01/01/2017","005675","1","MATHSCI","",""
"01/01/2017","005689","1","COMPSCI","",""
"01/01/2017","005700","1","MATHSCI","SCHBIOSCI","50.000"
"01/01/2017","005700","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","005704","1","PHILOSOPHY","",""
"01/01/2017","005711","1","COMPSCI","",""
"01/01/2017","005740","1","SCHBIOSCI","",""
"01/01/2017","005760","1","ECONOMICSS","",""
"01/01/2017","005761","1","ECONOMICSS","",""
"01/01/2017","005770","1","DENTAL","",""
"01/01/2017","005782","1","MATHSCI","COMPSCI","50.000"
"01/01/2017","005782","1","MATHSCI","MATHSCI","50.000"
"01/01/2017","005787","1","SCHPHYSCI","",""
"01/01/2017","005819","1","MATHSCI","",""
"01/01/2017","005875","1","CASM","",""
"01/01/2017","005876","1","BUSSCH","",""
"01/01/2017","005876","2","BUSSCH","",""
"01/01/2017","005876","3","BUSSCH","",""
"01/01/2017","005904","1","DENTAL","",""
"01/01/2017","005912","1","ECONOMICSS","",""
"01/01/2017","005939","1","BUSSCH","",""
"01/01/2017","005939","2","BUSSCH","",""
"01/01/2017","005991","1","ECONOMICSS","",""
"01/01/2017","005994","1","ECONOMICSS","",""
"01/01/2017","006001","1","PHILOSOPHY","",""
"01/01/2017","006005","1","BUSSCH","",""
"01/01/2017","006005","2","BUSSCH","",""
"01/01/2017","006031","1","COMPSCI","",""
"01/01/2017","006031","2","COMPSCI","",""
"01/01/2017","006055","1","BUSSCH","",""
"01/01/2017","006055","2","BUSSCH","",""
"01/01/2017","006080","1","SCHPHYSCI","",""
"01/01/2017","006100","1","DENTAL","",""
"01/01/2017","006100","2","DENTAL","",""
"01/01/2017","006101","1","CASM","",""
"01/01/2017","006107","1","ECONOMICSS","",""
"01/01/2017","006126","1","ECONOMICSS","",""
"01/01/2017","006135","1","ECONOMICSS","",""
"01/01/2017","006142","1","MEDICINE","",""
"01/01/2017","006160","1","ECONOMICSS","",""
"01/01/2017","006163","1","ECONOMICSS","",""
"01/01/2017","006187","1","PUBLICHLTH","",""
"01/01/2017","006201","1","ECONOMICSS","",""
"01/01/2017","006202","1","ECONOMICSS","",""
"01/01/2017","006215","1","ELECENG","",""
"01/01/2017","006235","1","CASM","",""
"01/01/2017","006263","1","COMPSCI","",""
"01/01/2017","006263","2","COMPSCI","",""
"01/01/2017","006293","1","COMPSCI","",""
"01/01/2017","006293","2","COMPSCI","",""
"01/01/2017","006342","1","MEDSCI","",""
"01/01/2017","006362","1","LAWS","",""
"01/01/2017","006362","3","LAWS","",""
"01/01/2017","006362","4","LAWS","",""
"01/01/2017","006362","5","LAWS","",""
"01/01/2017","006378","1","COMPSCI","",""
"01/01/2017","006378","2","COMPSCI","",""
"01/01/2017","006378","3","COMPSCI","",""
"01/01/2017","006410","2","BUSSCH","",""
"01/01/2017","006410","3","BUSSCH","",""
"01/01/2017","006435","1","ECONOMICSS","",""
"01/01/2017","006461","2","BUSSCH","",""
"01/01/2017","006461","3","BUSSCH","",""
"01/01/2017","006473","1","BUSSCH","",""
"01/01/2017","006492","1","GFS","",""
"01/01/2017","006501","1","MATHSCI","",""
"01/01/2017","006608","1","CASM","",""
"01/01/2017","006611","1","ECONOMICSS","",""
"01/01/2017","006621","1","COMPSCI","",""
"01/01/2017","006626","1","DENTAL","",""
"01/01/2017","006676","1","MATHSCI","",""
"01/01/2017","006753","1","DENTAL","",""
"01/01/2017","006760","1","DENTAL","",""
"01/01/2017","006781","1","CIV&ENVENG","",""
"01/01/2017","006794","1","COMPSCI","",""
"01/01/2017","006794","2","COMPSCI","",""
"01/01/2017","006807","1","ECONOMICSS","",""
"01/01/2017","006812","2","BUSSCH","",""
"01/01/2017","006812","3","BUSSCH","",""
"01/01/2017","006827","1","MATHSCI","",""
"01/01/2017","006837","1","P&CONTED","",""
"01/01/2017","006839","1","P&CONTED","",""
"01/01/2017","006841","1","CASM","",""
"01/01/2017","006859","1","CIV&ENVENG","",""
"01/01/2017","006870","1","ELECENG","",""
